Saturday, May 23, 2015 04:10:12 PM PDT
 CPU minf mjf xcal  intr ithr  csw icsw migr smtx  srw syscl  usr sys  st idl
  52    0   0    4    87   41   88    0    1    1    0    50    0   0   0 100
  53    0   0    2    84   41   83    0    1    1    0    45    0   0   0 100
  54    0   0    1    82   40   81    0    1    0    0    43    0   0   0 100
  55    0   0   14    89   43   92    1    1    1    0    57    0   0   0 100
  64    0   0   13    24    1   25    0    6    1    0     2    0   0   0 100
  65    0   0   18    40   14   47    0    1    1    0    49    0   0   0 100
  66    0   0   19    37    5   42    0    7    1    0    18    0   0   0 100
  67    0   0    2     5    1    4    0    0    0    0     3    0   0   0 100
  68    0   0   12    25    2   25    0    6    1    0     2    0   0   0 100
  69    0   0   20    39   13   47    0    1    1    0    47    0   0   0 100
  70    0   0   19    39    6   43    0    7    1    0    18    0   0   0 100
  71    0   0    2     5    1    4    0    0    0    0     3    0   0   0 100
  80    0   0   11    25    3   25    0    5    0    0     1    0   0   0 100
  81    0   0    2    55   26   54    1    0    0    0     3    0   1   0  99
  82    0   0   24    50   10   59    0    6    1    0    38    0   0   0 100
  83    0   0    7    30   12   30    0    0    1    0    15    0   0   0 100
  84    0   0   11    24    2   24    0    5    0    0     1    0   0   0 100
  85    0   0    2    56   27   54    1    0    0    0     3    0   1   0  99
  86    0   0   31    49   10   58    0    6    1    0    36    0   0   0 100
  87    0   0    7    27   11   28    0    0    0    0    15    0   0   0 100
  96    0   0   17    36    5   40    0    6    1    0    24    0   0   0 100
  97    0   0    1     7    2    7    0    0    0    0     3    0   0   0 100
  98    0   0   12    23    1   24    0    6    0    0     2    0   0   0 100
  99    0   0   16    42   15   49    0    1    1    0    49    0   0   0 100
 100    0   0   18    36    5   40    0    6    1    0    17    0   0   0 100
 101    0   0    2     7    2    5    0    0    0    0     2    0   0   0 100
 102    0   0   12    24    1   25    0    6    1    0     2    0   0   0 100
 103    0   0   17    40   14   47    0    1    1    0    47    0   0   0 100
 112    0   0   27    59   12   69    0    7    1    0    45    0   0   0 100
 113    0   0    8    17    5   20    0    0    1    0    19    0   0   0 100
 114    0   0   11    23    0   24    0    6    0    0     1    0   0   0 100
 115    0   0    2     5    2    3    0    0    0    0     2    0   0   0 100
 116    0   0   30    59   13   69    0    7    1    0    45    0   0   0 100
 117    0   0    9    20    7   21    0    0    1    0    21    0   0   0 100
 118    0   0   12    24    1   25    0    6    0    0     2    0   0   0 100
 119    0   0    2     6    2    3    0    0    0    0     2    0   0   0 100
Saturday, May 23, 2015 04:10:17 PM PDT
 CPU minf mjf xcal  intr ithr  csw icsw migr smtx  srw syscl  usr sys  st idl
   0    0   0   76   278   67    6    0    1    0    0     0    0   1   0  99
   1    0   0   19    49    0   60    0   11    1    0     0    0   0   0 100
   2    0   0    2     5    0    4    0    1    0    0     0    0   0   0 100
   3    0   0   21    53    1   59    0   12    3    0     0    0   0   0 100
   4    0   0    1     5    0    2    0    0    0    0     0    0   0   0 100
   5    0   0   18    46    1   42    0   10    1    0     0    0   0   0 100
   6    0   0   18    24   18    8    0    1    1    0     0    0   0   0 100
   7    0   0   27    59    0   63    0   14    0    0     0    0   0   0 100
  16    0   0    2     8    0    5    0    1    0    0     0    0   0   0 100
  17    0   0   18    42    0   45    0   11    1    0     0    0   0   0 100
  18    0   0    4     7    2    4    0    1    0    0     0    0   0   0 100
  19    0   0   25    52    0   50    0   12    0    0     0    0   0   0 100
  20    0   0    9    20    0   23    0    5    1    0     0    0   0   0 100
  21    0   0   29    60    1   69    0   13    1    0     0    0   0   0 100
  22    0   0    4    15    1   12    0    3    0    0     0    0   0   0 100
  23    0   0   53   135    2  149    0   35    5    0     0    0   1   0  99
  32    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  33    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  34    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  35    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  36    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  37    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  38    0   0    0     1    0    0    0    0    0    0     3    0   0   0 100
  39    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  48    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  49    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  50    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  51    0   0    0     2    0    1    0    0    0    0     1    0   0   0 100
  52    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  53    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  54    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  55    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  64    0   0    7    18    0   16    0    5    0    0     0    0   0   0 100
  65    0   0   13    25    0   46    0    0    0    0    42    0   0   0 100
  66    0   0    8    47   14   50    0    6    1    0    16    0   0   0 100
  67    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  68    0   0    6    18    0   19    0    5    0    0     0    0   0   0 100
  69    0   0    2    14    4   16    0    1    0    0    17    0   0   0 100
  70    0   0    6    19    0   21    0    6    0    0     0    0   0   0 100
  71    0   0    0     2    0    1    0    0    0    0     0    0   0   0 100
  80    0   0    4   209  100  206    4    3    0    0     4    0   2   0  98
  81    0   0    1     3    0    2    0    1    0    0     0    0   0   0 100
  82    0   0    7    26    5   27    0    5    0    0     9    0   0   0 100
  83    0   0    1     3    0    3    0    0    0    0     3    0   0   0 100
  84    0   0   11    20    0   26    0    5    0    0     0    0   0   0 100
  85    0   0    0     2    0    1    0    0    0    0     0    0   0   0 100
  86    0   0   10    42    9   42    0    7    1    0    16    0   0   0 100
  87    0   0    0     2    1    1    0    0    4    0     3    0   0   0 100
  96    0   0   36    85   19  110    0    5    0    0    76    0   0   0 100
  97    0   0    0     4    1    2    0    0    0    0     0    0   0   0 100
  98    0   0    6    18    0   20    0    4    0    0     0    0   0   0 100
  99    2   0    1    53   24   50    0    1    1    0    91    0   0   0  99
 100    0   0   10    28    1   32    0    6    0    0    18    0   0   0 100
 101    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
 102    0   0    7    17    0   16    0    5    0    0     0    0   0   0 100
 103    0   0    1    10    4   10    0    0    0    0    25    0   0   0 100
 112    0   0   28    47    5   67    0    6    1    0    53    0   0   0 100
 113    0   0    0     5    2    5    0    0    0    0     2    0   0   0 100
 114    0   0   10    20    0   21    0    5    0    0     0    0   0   0 100
 115    0   0    0     3    1    2    0    0    0    0     2    0   0   0 100
 116    0   0    6    58   21   58    0    5    4    0    24    0   0   0 100
 117    0   0   22    58   23   73    0    0    0    0    79    0   0   0 100
 118    0   0   11    21    2   23    0    6    1    0     4    0   0   0 100
 119    0   0    1     3    0    3    0    0    0    0    12    0   0   0 100
Saturday, May 23, 2015 04:10:22 PM PDT
 CPU minf mjf xcal  intr ithr  csw icsw migr smtx  srw syscl  usr sys  st idl
   0    0   0   74   282   67   14    0    2    0    0     0    0   1   0  99
   1    0   0   27    57    0   65    0   12    0    0     0    0   0   0 100
   2    0   0    2     6    0    4    0    1    0    0     0    0   0   0 100
   3    0   0   47    54    1   56    0   13    2    0     0    0   0   0 100
   4    0   0    3     7    0    6    0    1    0    0     0    0   0   0 100
   5    0   0   17    43    1   42    0   11    1    0     0    0   0   0 100
   6    0   0   19    27   17    8    0    2    0    0     0    0   0   0 100
   7    0   0   19    39    0   43    0   12    1    0     0    0   0   0 100
  16    0   0    2     8    0    6    0    2    0    0     0    0   0   0 100
  17    0   0   17    44    0   47    0   14    1    0     0    0   0   0 100
  18    0   0    2     5    2    3    0    1    0    0     0    0   0   0 100
  19    0   0   24    56    0   62    0   12    1    0     0    0   0   0 100
  20    0   0    5    15    0   15    0    3    0    0     0    0   0   0 100
  21    0   0   25    59    1   58    0   13    1    0     0    0   0   0 100
  22    0   0    7    19    0   15    0    4    0    0     0    0   0   0 100
  23    0   0   52   137    1  156    0   37    1    0     0    0   0   0 100
  32    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  33    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  34    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  35    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  36    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  37    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  38    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  39    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  48    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  49    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  50    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  51    0   0    0     1    0    0    0    0    0    0     1    0   0   0 100
  52    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  53    0   0    0     1    0    0    0    0    0    0     1    0   0   0 100
  54    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  55    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  64    0   0   11    23    0   22    0    6    1    0     0    0   0   0 100
  65    0   0   30    80   19  120    0    1    0    0   115    0   0   0  99
  66    0   0    4    53   21   56    0    4    1    0    21    0   0   0 100
  67    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  68    0   0    9    21    0   26    0    5    1    0     0    0   0   0 100
  69    0   0    2    11    4   12    0    0    0    0    18    0   0   0 100
  70    0   0    9    26    1   27    0    7    1    0     0    0   0   0 100
  71    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  80    0   0    6   211  100  208    5    3    0    0     5    0   2   0  98
  81    0   0    2     6    0    4    0    2    0    0     0    0   0   0 100
  82    0   0    7    26    2   24    0    7    0    0     7    0   1   0  99
  83    0   0    1     3    0    2    0    0    0    0     0    0   0   0 100
  84    0   0    6    13    0   12    0    4    0    0     0    0   0   0 100
  85    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  86    0   0   24    45    4   59    0    7    2    0    51    0   0   0  99
  87    0   0    0     2    1    1    0    0    3    0     3    0   0   0 100
  96    0   0   13    71   22   73    0    8    0    0    34    0   0   0 100
  97    0   0    0     3    1    2    0    0    0    0     0    0   0   0 100
  98    0   0   10    21    0   21    0    6    0    0     0    0   0   0 100
  99    0   0    1    11    4    9    0    0    0    0    46    0   0   0 100
 100    0   0   15    28    3   33    0    5    1    0    30    0   0   0 100
 101    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
 102    0   0    5    12    0   12    0    4    0    0     0    0   0   0 100
 103    0   0    0    10    4   10    0    1    1    0    25    0   2   0  98
 112    0   0   13    33    4   38    0    6    0    0    12    0   0   0 100
 113    0   0    0     5    2    4    0    0    0    0     2    0   0   0 100
 114    0   0    8    16    0   18    0    5    0    0     0    0   1   0  99
 115    0   0    0     3    1    2    0    0    0    0     2    0   0   0 100
 116    0   0   14    32    3   71    0    9    1    0    79    0   0   0 100
 117    0   0   17    45   18   59    0    0    0    0    63    0   0   0 100
 118    0   0    7    61   22   61    0    6    0    0    23    0   0   0 100
 119    0   0    2     3    0    4    0    0    0    0    13    0   0   0 100
Saturday, May 23, 2015 04:10:27 PM PDT
 CPU minf mjf xcal  intr ithr  csw icsw migr smtx  srw syscl  usr sys  st idl
   0    0   0   75   278   67    6    0    1    0    0     0    0   1   0  99
   1    0   0   20    51    0   60    0   12    1    0     0    0   0   0 100
   2    0   0    1     3    0    3    0    1    0    0     0    0   0   0 100
   3    0   0   23    48    1   51    0   11    2    0     0    0   1   0  99
   4    0   0    2     5    0    4    0    1    0    0     0    0   0   0 100
   5    0   0   35    71    1   81    0   14    1    0     0    0   0   0 100
   6    0   0   18    22   17    5    0    1    1    0     0    0   0   0 100
   7    0   0   15    46    0   57    0   11    1    0     0    0   0   0 100
  16    0   0    1     4    0    3    0    1    0    0     0    0   0   0 100
  17    0   0   15    35    1   34    0    9    1    0     0    0   0   0 100
  18    0   0   30     9    2    6    0    1    0    0     0    0   0   0 100
  19    0   0   17    45    0   57    0    8    1    0     0    0   0   0 100
  20    0   0    5    16    0   17    0    4    0    0     0    0   0   0 100
  21    0   0   20    45    1   47    0   11    0    0     0    0   0   0 100
  22    0   0    5    12    0   11    0    3    0    0     0    0   0   0 100
  23    0   0   45   112    1  128    0   34    2    0     0    0   0   0 100
  32    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  33    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  34    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  35    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  36    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  37    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  38    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  39    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  48    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  49    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  50    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  51    0   0    0     2    1    2    0    0    0    0     2    0   0   0 100
  52    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  53    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  54    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  55    0   0    1     1    0    0    0    0    0    0     1    0   0   0 100
  64    0   0   12    20    1   22    0    5    1    0     0    0   0   0 100
  65    0   0   20    46    7   75    0    1    0    0    73    0   0   0 100
  66    0   0    9    66   21   63    0    7    0    0    22    0   0   0 100
  67    0   0    0     2    0    2    0    0    0    0     4    0   0   0 100
  68    0   0   10    21    0   21    0    7    1    0     0    0   0   0 100
  69    0   0    4    22    8   23    0    1    0    0    31    0   0   0 100
  70    0   0    8    22    0   21    0    6    1    0     0    0   0   0 100
  71    0   0    0     1    0    1    0    0    0    0     0    0   0   0 100
  80    0   0    3   210  100  207    4    3    1    0     4    0   2   0  98
  81    0   0    3     5    0    3    0    1    0    0     0    0   0   0 100
  82    0   0    8    23    2   23    0    6    0    0     7    0   0   0 100
  83    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  84    0   0   10    28    0   24    0    6    0    0     0    0   0   0 100
  85    0   0    1     3    0    2    0    0    0    0     0    0   0   0 100
  86    0   0   28    40    2   60    0    5    0    0    46    0   0   0 100
  87    0   0    2     5    1    6    0    0    0    0    15    0   0   0 100
  96    0   0   31   117   37  128    0    6    0    0    83    0   0   0  99
  97    0   0    0     4    1    3    0    0    0    0     0    0   0   0 100
  98    0   0    8    20    0   20    0    5    0    0     0    0   0   0 100
  99    0   0    1     4    2    4    0    0    0    0    41    0   0   0 100
 100    0   0   17    37    3   46    0    6    1    0    28    0   0   0 100
 101    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
 102    0   0    7    17    0   19    0    4    0    0     0    0   0   0 100
 103    0   0    0     9    4    9    0    0    0    0     8    0   0   0 100
 112    0   0   10    32    5   35    0    7    0    0    29    0   0   0 100
 113    0   0    1     5    2    4    0    0    0    0     4    0   0   0 100
 114    0   0    7    20    0   18    0    6    1    0     0    0   0   0 100
 115    0   0   14    44   15   57    0    1    4    0    58    0   0   0 100
 116    0   0    9    26    1   25    0    6    3    0     4    0   0   0 100
 117    0   0    0     4    1    3    0    0    0    0     2    0   0   0 100
 118    0   0   11    72   24   76    0    8    1    0    27    0   0   0 100
 119    0   0    1     4    0    3    0    0    0    0     0    0   0   0 100
Saturday, May 23, 2015 04:10:32 PM PDT
 CPU minf mjf xcal  intr ithr  csw icsw migr smtx  srw syscl  usr sys  st idl
   0    0   0   86   289   67   28    0    1    0    0     0    0   1   0  99
   1    0   0   19    49    0   52    0   11    0    0     0    0   0   0 100
   2    0   0    1     7    2    4    0    1    0    0     0    0   0   0 100
   3    0   0   45   104    0   96    0   13    2    0     0    0   0   0 100
   4    0   0    3     7    0    6    0    1    0    0     0    0   0   0 100
   5    0   0   34    64    0   73    0   11    1    0     0    0   0   0 100
   6    0   0   17    19   16    3    0    1    0    0     0    0   0   0 100
   7    0   0   25    55    1   62    0   15    1    0     0    0   0   0 100
  16    0   0    1     3    0    2    0    1    0    0     0    0   0   0 100
  17    0   0   20    51    3   51    0   12    0    0     0    0   0   0 100
  18    0   0    6    11    2    7    0    1    0    0     0    0   0   0 100
  19    0   0   24    53    1   52    0   12    1    0     0    0   0   0 100
  20    0   0    6    23    0   24    0    4    1    0     0    0   0   0 100
  21    0   0   43    43    1   45    0   11    1    0     0    0   0   0 100
  22    0   0    5    20    3   19    0    4    0    0     0    0   0   0 100
  23    0   0   61   139    1  174    0   36    3    0     0    0   0   0 100
  32    0   0    0     5    4    0    0    0    0    0     0    0   0   0 100
  33    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  34    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  35    0   0    0     3    2    0    0    0    0    0     0    0   0   0 100
  36    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  37    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  38    0   0    0     3    2    0    0    0    0    0     0    0   0   0 100
  39    0   0    0     2    1    0    0    0    0    0     0    0   0   0 100
  48    0   0    0     4    3    0    0    0    0    0     0    0   0   0 100
  49    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  50    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  51    0   0    0     4    3    0    0    0    0    0     1    0   0   0 100
  52    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  53    0   0    0     3    2    0    0    0    0    0     0    0   0   0 100
  54    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  55    0   0    0     4    3    0    0    0    0    0     0    0   0   0 100
  64    0   0    9    22    0   19    0    6    0    0     0    0   0   0 100
  65    0   0    4    12    4   12    0    1    0    0    17    0   0   0 100
  66    0   0    8    23    1   25    0    6    1    0     1    0   0   0 100
  67    0   0    5    33   14   36    0    0    0    0    29    0   0   0 100
  68    0   0    9    25    3   22    0    8    0    0     3    0   0   0 100
  69    0   0   26    68   24   96    0    0    0    0    93    0   0   0 100
  70    0   0    6    29    8   28    0    5    1    0     6    0   0   0 100
  71    0   0    2     5    0    4    0    1    0    0     0    0   0   0 100
  80    0   0   10   219  102  215    4    4    0    0     4    0   2   0  98
  81    0   0    2     4    0    4    0    2    0    0     0    0   0   0 100
  82    0   0   12    31    3   41    0    5    0    0    31    0   0   0 100
  83    0   0    6    46   21   48    0    1    0    0    35    0   0   0 100
  84    0   0    7    17    0   16    0    6    0    0     0    0   0   0 100
  85    0   0    0     4    3    0    0    0    0    0     0    0   0   0 100
  86    0   0   24    37    1   53    0    6    1    0    31    0   0   0 100
  87    0   0    0     4    3    1    0    0    0    0     0    0   0   0 100
  96    0   0    8    26    3   25    0    6    1    0     4    0   0   0 100
  97    0   0    0     4    1    2    0    0    0    0     3    0   0   0 100
  98    0   0    9    22    0   24    0    6    1    0     0    0   0   0 100
  99    0   0    5    18    4   22    0    1    0    0    54    0   0   0 100
 100    0   0   23    68   16   85    0    6    1    0    78    0   0   0  99
 101    0   0    0     3    2    0    0    0    0    0     0    0   0   0 100
 102    0   0    8    18    0   16    0    6    0    0     0    0   0   0 100
 103    0   0    1    35   18   31    0    0    0    0    19    0   0   0 100
 112    0   0   10    31    4   34    0    6    1    0    35    0   2   0  98
 113    0   0    6    15    3   18    0    1    0    0    20    0   0   0 100
 114    0   0   10    26    0   26    0    6    0    0     0    0   0   0 100
 115    0   0    3    14    6   11    0    0    3    0    12    0   0   0 100
 116    0   0   17    43    7   51    0    7    3    0    11    0   0   0 100
 117    0   0    3    10    4    9    0    1    0    0     1    0   0   0 100
 118    0   0   11    39    6   42    0    8    0    0     8    0   0   0 100
 119    0   0    0     4    3    0    0    0    0    0     5    0   0   0 100
Saturday, May 23, 2015 04:10:37 PM PDT
 CPU minf mjf xcal  intr ithr  csw icsw migr smtx  srw syscl  usr sys  st idl
   0    0   0  153   359   66  170    0    1    1    0     0    0   1   0  99
   1    0   0   20    41    0   45    0   13    2    0     0    0   0   0 100
   2    0   0    2    11    5    4    0    2    0    0     0    0   0   0 100
   3    0   0   25    54    0   63    0   16    1    0     0    0   0   0 100
   4    0   0    2     6    0    4    0    1    0    0     0    0   0   0 100
   5    0   0   26    46    0   51    0   13    1    0     0    0   0   0 100
   6    0   0   17    20   17    2    0    1    1    0     0    0   0   0 100
   7    0   0   30    51    1   66    0   14    1    0     0    0   0   0 100
  16    0   0    2     4    0    4    0    1    1    0     0    0   0   0 100
  17    0   0   18    61    5   77    0   14    2    0     0    0   0   0 100
  18    0   0    4    11    2   10    0    2    0    0     0    0   0   0 100
  19    0   0   24    49    0   53    0   12    0    0     0    0   0   0 100
  20    0   0    7    18    1   18    0    6    1    0     0    0   0   0 100
  21    0   0   25    54    0   59    0   14    3    0     0    0   0   0 100
  22    0   0    6    20    5   13    0    4    0    0     0    0   0   0 100
  23    0   0   70   132    1  159    0   38    2    0     0    0   0   0 100
  32    0   0    0     6    5    0    0    0    0    0     0    0   0   0 100
  33    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  34    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  35    0   0    0     7    6    0    0    0    0    0     0    0   0   0 100
  36    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  37    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  38    0   0    0     8    7    0    0    0    0    0     3    0   0   0 100
  39    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  48    0   0    0     8    7    0    0    0    0    0     0    0   0   0 100
  49    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  50    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  51    0   0    0     8    7    1    0    0    0    0     1    0   0   0 100
  52    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  53    0   0    0     8    7    0    0    0    0    0     0    0   0   0 100
  54    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  55    0   0    0     8    7    0    0    0    0    0     0    0   0   0 100
  64    0   0    9    24    1   24    0    6    0    0     0    0   1   0  99
  65    0   0    8    29   13   29    0    1    3    0    30    0   0   0 100
  66    0   0   14    32    1   31    0    9    0    0     2    0   0   0 100
  67    0   0    0     2    0    1    0    0    0    0     0    0   0   0 100
  68    0   0    8    25    7   21    0    6    1    0     0    0   0   0 100
  69    0   0   37    83   22  117    0    1    0    0   111    0   0   0  99
  70    0   0    7    57   21   56    0    6    0    0    14    0   0   0 100
  71    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  80    0   0    8   218  106  210    3    5    0    0     3    0   2   0  98
  81    0   0    1     3    0    2    0    1    0    0     0    0   0   0 100
  82    0   0   11    42   10   46    0    7    1    0    20    0   0   0 100
  83    0   0    7    28   13   26    0    0    0    0    26    0   0   0 100
  84    0   0    9    26    0   24    0    5    0    0     0    0   0   0 100
  85    0   0    0     7    6    0    0    0    0    0     0    0   0   0 100
  86    0   0   14    39    7   41    0    6    0    0    23    0   0   0 100
  87    0   0    0     9    7    1    0    0    0    0     0    0   0   0 100
  96    0   0    8    19    0   22    0    7    1    0     2    0   1   0  99
  97    0   0    0     3    1    2    0    0    0    0     0    0   0   0 100
  98    0   0   12    23    0   24    0    7    0    0     0    0   0   0 100
  99    0   0   25    58   14   83    0    1    0    0   109    0   0   0  99
 100    0   0   15    38    3   48    0    8    0    0    28    0   0   0 100
 101    0   0    0     8    6    1    0    0    0    0     0    0   0   0 100
 102    0   0    9    19    0   18    0    5    0    0     0    0   0   0 100
 103    0   0    1    16    9   10    0    1    0    0     7    0   0   0 100
 112    0   0    8    26    2   31    0    7    1    0    17    0   0   0 100
 113    0   0    9    19    4   25    0    0    0    0    29    0   0   0  99
 114    0   0   14    30    0   34    0    7    1    0     0    0   0   0 100
 115    0   0    0    10    8    2    0    0    0    0     2    0   0   0 100
 116    0   0    7    65   22   67    0    9    2    0    26    0   0   0 100
 117    0   0    7    27   14   26    0    0    0    0    27    0   0   0 100
 118    0   0   12    29    4   33    0    5    0    0     6    0   0   0 100
 119    0   0    0     7    5    1    0    0    0    0     0    0   0   0 100
Saturday, May 23, 2015 04:10:42 PM PDT
 CPU minf mjf xcal  intr ithr  csw icsw migr smtx  srw syscl  usr sys  st idl
   0    0   0  113   318   67   85    0    1    1    0     0    0   1   0  99
   1    0   0   30    57    0   67    0   13    2    0     0    0   0   0 100
   2    0   0    1    11    6    4    0    1    0    0     0    0   0   0 100
   3    0   0   32    74    0   76    0   15    3    0     0    0   0   0 100
   4    0   0    3     9    0    6    0    2    0    0     0    0   0   0 100
   5    0   0   28    66    0   73    0   13    2    0     0    0   0   0 100
   6    0   0   34    43   30   10    0    2    1    0     0    0   0   0 100
   7    0   0   44   101    1   97    0   14    3    0     0    0   0   0 100
  16    0   0    4    10    0   11    0    2    0    0     0    0   0   0 100
  17    0   0   22    59    5   73    0   14    1    0     0    0   1   0  99
  18    0   0    5    14    2   10    0    2    1    0     0    0   0   0 100
  19    0   0   23    52    1   54    0   11    1    0     0    0   0   0 100
  20    0   0    9    23    0   25    0    6    1    0     0    0   0   0 100
  21    0   0   47    53    1   56    0   14    1    0     0    0   0   0 100
  22    0   0    5    18    5   11    0    2    0    0     0    0   0   0 100
  23    0   0   72   155    1  191    0   43    6    0     0    0   0   0 100
  32    0   0    0     6    5    0    0    0    0    0     0    0   0   0 100
  33    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  34    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  35    0   0    0     6    5    0    0    0    0    0     0    0   0   0 100
  36    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  37    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  38    0   0    0     6    5    0    0    0    0    0     0    0   0   0 100
